image,mean_h,mean_s,mean_b,std_h,std_s,std_b,fourier_slope,fourier_sigma,first_order_ed,second_order_ed,edge_density,entropy,fractal_D
bedroom__116.png,0.08787881141123967,0.46826948230303383,0.45776842064950973,0.06713061902480395,0.24513697125856063,0.16669073184228672,-2.6566633637190864,0.01088560147954253,3.853246238769141,4.282696271023607,243.7804224140349,7.316897721944961,1.6275689609159656
bedroom__117.png,0.3402699110749159,0.2754275024644704,0.4837342601102942,0.2058789579966585,0.29772887191351494,0.22725975286978517,-2.84789364043593,0.015317746521755648,3.604309974487097,3.9476350889309204,247.44618035672087,7.637079173607545,1.776834079461004
bedroom__118.png,0.09133001012627609,0.23311090895559503,0.8357235626021241,0.14258950790911157,0.27057527645181184,0.15245962901857382,-2.7061650221291678,0.005409330727820084,4.2514152184887415,4.293828781280552,248.24577922908597,6.645970520991486,1.9083483870590698
bedroom__119.png,0.23245059017635383,0.24249057156507878,0.4748790594362746,0.2676414985254824,0.19568323051807793,0.17974211917946523,-2.6245076609272378,0.014838320929213819,4.026305040191661,4.293385197605448,290.1772941333451,7.506472241331635,1.7035338353881886
bedroom__12.png,0.3863952976407776,0.08306263662540071,0.46482328686683,0.2609654224404169,0.06783609340916219,0.2111103491296079,-2.7526554256003446,0.04785283190897829,3.824101386565485,4.228255908869082,389.7360499347965,7.589599044897977,1.763716481128275
bedroom__120.png,0.10490747661845341,0.4662122008710137,0.48778519454656866,0.11551985528598392,0.18486154979901034,0.21724418662246534,-2.8255048713933473,0.008100080978515035,4.042168083060557,4.255092074145446,221.6287042900757,7.401956857774714,1.6602991855808475
bedroom__121.png,0.10832575573928335,0.19732194629926325,0.646972962622549,0.09278587536956237,0.11315170778030646,0.23805709797032376,-2.8953067976711844,0.007597907549692898,3.987303356284963,4.246681057933331,348.7262735218204,7.640254082257351,1.8739193865620247
bedroom__122.png,0.18173650574730046,0.31772359586815313,0.46678260314542486,0.20596324962406484,0.22613839660804735,0.3047356614909269,-2.7409835448004305,0.011757498095408938,3.581718791413739,3.966459569702406,411.2947289905396,7.318414672548823,1.7123211857444331
bedroom__123.png,0.11855427340593136,0.5170598747456635,0.5346044730392155,0.08402917419624344,0.2291657034219416,0.21256437317140003,-2.699358812274163,0.017834022423499546,3.5814737879424774,3.89455942075442,351.46877945564916,7.657714047248988,1.7830762241705997
bedroom__124.png,0.2134035648054837,0.15806831100211433,0.5648213848039215,0.24833424228836537,0.13924435691879486,0.19705321925918964,-3.0092737768888345,0.011293122644657951,3.664139176807895,3.927659260026864,325.8024052970822,7.3120122070118985,1.829610601910455
bedroom__125.png,0.20804401552483945,0.3091184416150609,0.6883801700367645,0.24238322404285514,0.24637392526915086,0.18482577305455847,-2.711987574128587,0.007979347512415158,4.051366394558758,4.32765449034829,293.9131018390634,7.193665866356465,1.8921594537541726
bedroom__126.png,0.20886496746660807,0.250405487772985,0.7222559104370915,0.20904350179474587,0.21792731504695464,0.19979409016158567,-2.5612326624434454,0.007813762999804005,4.1983015697407335,4.39866778409171,323.2636487826405,7.495322472358401,1.9021528840443878
bedroom__127.png,0.17934986324403668,0.3455773197727188,0.4376066814746732,0.15685036897210053,0.2718227777071085,0.19799994833528056,-2.9155872674812056,0.008621287812540766,3.4442096046647652,3.721001344533648,352.7140996558143,7.348700236626632,1.7229420087449963
bedroom__128.png,0.3924666694537062,0.20524367632229765,0.5939173560049019,0.266835525271457,0.132585971595973,0.2550568499222343,-2.6185731447900924,0.0152515399131002,3.901170624318926,4.1435877296068755,285.1666207726487,7.723264746931855,1.8302878007964924
bedroom__129.png,0.13152681542095052,0.6329836837255766,0.6078724085988562,0.1504799959808767,0.21557676024059233,0.2465570467316207,-3.158648675276688,0.018027254130425482,3.5559722089680115,3.9380182117303195,359.92254522230184,7.394427857454761,1.803268913587583
bedroom__13.png,0.3380785906811078,0.2103386730503828,0.4558608302696078,0.267328774007888,0.21134480939014916,0.2246720125948978,-2.554738152470326,0.0046155331390901715,4.208855298817323,4.421582405502459,263.2715851950452,7.630641880039245,1.7738261716904737
bedroom__130.png,0.11241817268569484,0.22006144249710885,0.5535088337418299,0.17481393395318287,0.20426421699651162,0.14704904875282485,-2.584457291957802,0.004302140132186248,4.204698642552982,4.336176969031508,227.44523792465242,7.071069014546771,1.841809537715335
