image,curvature1,orientation1,length1,curvature2,orientation2,length2,curvature3,orientation3,length3,curvature4,orientation4,length4,curvature5,orientation5,length5,curvature6,orientation6,length6,curvature7,orientation7,length7,curvature8,orientation8,length8
bedroom__139.png,4908.02193252683,1565.01595233644,90.3306548434307,1407.90507273533,956.667353938848,198.090210460162,1658.71861074048,613.34806017765,1073.42920180248,904.574260977047,1077.49184859452,2105.33064557291,969.113512288537,3308.63368489224,3506.29902072568,109.495986038622,971.480167871902,1750.14924742658,42.170624693152,370.205840481069,1276.37101916875,0,1137.15709170734,0
bedroom__14.png,4442.21785254727,2631.90378042069,44.7544399447313,2281.69215889766,635.891988992368,374.583428804805,1328.90983982495,152.634422027549,702.398716098557,1025.94958529366,639.029710618293,2314.60045564081,693.98856024342,4575.77803835897,2604.49153533048,227.242003193048,378.620714957634,1640.87291998394,0,241.572385323737,2318.29850419668,0,744.56895930076,0
bedroom__140.png,6076.17824268697,1019.88424568307,262.499450165211,1088.6119956166,931.749758157389,693.134465034242,756.771571764231,376.100065518522,2031.79464644517,1282.59298905546,871.55204475605,2664.49262206991,424.693940714223,4447.22401955381,1845.75617735414,346.340328200685,835.189636885537,2502.32263893133,24.8109319618305,424.232568704958,0,0,1094.06766074067,0
bedroom__141.png,6012.18464962906,3503.89061681128,215.121682735697,1043.26503532355,906.402611533575,637.213213149952,1408.83783641878,326.751746556729,1202.74228910535,990.85702312224,688.858932078917,2997.2397918996,391.703019765957,2828.70812483451,2976.58102646785,153.152435740414,519.344502738238,497.6511267181,0,525.463326119489,0,0,700.580139327259,1473.45086992344
bedroom__142.png,4167.27456375837,1524.96683390047,144.393231396758,1357.09138079253,1203.0652035999,434.244629527016,2041.78775374081,738.617721698761,1535.42911700014,1586.34695933049,877.134319889692,3261.96731164808,658.996561304997,3047.93057563202,2765.87095524277,178.899602783665,520.59648938427,1858.09475518523,9.60317828912893,931.00391184658,0,0,1156.68494404831,0
bedroom__143.png,4902.93481629267,2161.7144827777,137.806862003386,2086.90729155952,1658.95681128577,442.336290975113,1833.85883873299,634.930778365348,1190.87322312355,653.316410914375,575.078449370935,2111.33210905144,316.850640046881,3454.73097249226,2670.97470833268,174.456182427444,488.104933628067,2394.5499621417,31.6758200261189,234.033749867103,1052.12684437213,0,792.449822212815,0
bedroom__144.png,5237.58508528048,1293.4262409029,182.56406781939,2163.72791502865,720.509904671987,394.755450702924,912.4603845396,24.0008970432215,1564.79010585955,866.800409826786,374.26059074832,1043.07061902917,681.97461656852,4653.82396091196,1647.75414488391,93.4710121953438,616.607527031611,3751.90815887321,43.980576560622,382.17333112738,1415.15745283185,0,1935.19754756262,0
bedroom__145.png,4386.14635581385,897.429662000597,173.253933290137,1483.26349127759,1074.98160593537,432.176333636653,2046.63340075326,874.5225815434,1370.19866549212,1095.51857102442,842.065225729191,2848.44147681542,722.184697037199,3796.57567074927,2931.89331454624,248.733571409227,1132.11406180047,1852.84611122495,10.813601638521,420.161516277359,391.190164994478,6.70631104593691,962.149675964341,0
bedroom__146.png,3679.36012943984,1087.53896973427,125.904341282563,2471.9000904736,1629.35118477365,407.337577254083,1915.59239465235,362.533602910916,1404.62083349473,1154.87038006338,634.726138432931,2955.90260354805,558.963460878581,4394.72524426728,2503.27575643338,207.262770382199,778.149837001603,2602.95888798719,12.0507741100447,330.208476967018,0,0,782.766545912331,0
bedroom__147.png,4000.12129208627,1328.2495024606,59.0070417156444,858.287950356831,1041.63787030236,419.234090368234,2583.72104800268,477.294985747128,1095.97432381918,1444.38391540582,548.411235321244,3055.95046480393,910.040610092477,3574.24945031787,2982.42422629148,194.328094716954,1220.20257064613,1057.58443277382,9.11708933896278,739.012682217821,1329.82542022771,0,1070.94170298684,0
bedroom__148.png,3847.45273103311,802.432538597993,258.990394195474,1327.82874700346,1944.2100848891,964.607703192213,1761.5231167599,788.231313025833,2202.90095287269,1835.50317306756,865.19399632713,3265.74467877346,874.910150702567,2722.80321854022,1792.70704783266,324.694071547432,1363.8132678516,355.31856348768,28.0880098859614,587.442715922154,1159.73065964582,0,925.872864845972,0
